artist_id,display_name,nationality,display_bio,birth_year,death_year,gender,artist_wikidata_url
8425,Fitz Henry Lane (formerly Fitz Hugh Lane),American,1804–1865,1804,1865,,https://www.wikidata.org/wiki/Q462404
8447,Frederic Edwin Church,American,"American, Hartford, Connecticut 1826–1900 New York",1826,1900,,https://www.wikidata.org/wiki/Q366212
8472,Henry Benbridge,American,"American, Philadelphia, Pennsylvania 1743–1812 Philadelphia, Pennsylvania",1743,1812,,https://www.wikidata.org/wiki/Q5718019
8475,Camille Corot,French,"French, Paris 1796–1875 Paris",1796,1875,,https://www.wikidata.org/wiki/Q148475
8476,Tamar Horton Harris North,American,1833–1905,1833,1905,,
9737,,,,,,,
8976,,,,,,,
9738,,,,,,,
10445,,,,,,,
8553,Govardhan,,active ca. 1596–1645,1596,1645,,https://www.wikidata.org/wiki/Q5588580
8554,Hans Leinberger,,"German, active 1510–1530",1510,1530,,https://www.wikidata.org/wiki/Q896372
10446,,,,,,,
8596,Andrea del Sarto (Andrea d'Agnolo),Italian,"Italian, Florence 1486–1530 Florence",1486,1530,,https://www.wikidata.org/wiki/Q5571
8597,Unknown Artist,,,,,,https://www.wikidata.org/wiki/Q24238356
8598,Raphael (Raffaello Sanzio or Santi),Italian,"Italian, Urbino 1483–1520 Rome",1483,1520,,https://www.wikidata.org/wiki/Q5597
9814,,,,,,,
8643,Benvenuto di Giovanni,Italian,"Italian, Siena 1436–after 1518 Siena",1436,1518,,https://www.wikidata.org/wiki/Q818396
9054,Joseph Pons,,"French, born 1776",1776,1876,,
8669,Caspar David Friedrich,German,"German, Greifswald 1774–1840 Dresden",1774,1840,,https://www.wikidata.org/wiki/Q104884
10516,,,,,,,
10542,,,,,,,
8758,Sir Joshua Reynolds,British,"British, Plympton 1723–1792 London",1723,1792,,https://www.wikidata.org/wiki/Q194402
8765,Jean Hey (called Master of Moulins),Netherlandish,"Netherlandish, active fourth quarter 15th century",1475,1499,,https://www.wikidata.org/wiki/Q1268739
8766,Nicolas Poussin,French,"French, Les Andelys 1594–1665 Rome",1594,1665,,https://www.wikidata.org/wiki/Q41554
8767,Master of Saint Francis,Italian,"Italian, Umbria, active third quarter 13th century",1250,1275,,https://www.wikidata.org/wiki/Q377375
8310,William Rush,American,1756–1833,1756,1833,,https://www.wikidata.org/wiki/Q1372840
9884,,,,,,,
