objectid,title,artist_display_name,artist_nationality,primary_image,primary_image_small,additional_images,objectname,medium,culture,city,country,object_date,object_end_date,department,gallery_number,accession_year,object_url,tags,object_wikidata_url
11907,A Rocky Coast,William Trost Richards,American,https://images.metmuseum.org/CRDImages/ad/original/CT_29509.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/CT_29509.jpg,"{https://images.metmuseum.org/CRDImages/ad/original/ap87.15.6.jpg,https://images.metmuseum.org/CRDImages/ad/original/APS2511.jpg,https://images.metmuseum.org/CRDImages/ad/original/3701.jpg}",Watercolor,Watercolor and gouache on fibrous brown wove paper,American,"","",1877,1877,The American Wing,"",1887,https://www.metmuseum.org/art/collection/search/11907,"[{""term"":""Seascapes"",""AAT_URL"":""http://vocab.getty.edu/page/aat/300117546"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q158607""}]",https://www.wikidata.org/wiki/Q20178690
16577,Winter Scene in Moonlight,Henry Farrer,American,https://images.metmuseum.org/CRDImages/ad/original/DT1541.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DT1541.jpg,{https://images.metmuseum.org/CRDImages/ad/original/1999.19.jpg},Watercolor,Watercolor and gouache on white wove paper,American,"","",1869,1869,The American Wing,"",1999,https://www.metmuseum.org/art/collection/search/16577,"[{""term"":""Moon"",""AAT_URL"":""http://vocab.getty.edu/page/aat/300386951"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q405""},{""term"":""Landscapes"",""AAT_URL"":""http://vocab.getty.edu/page/aat/300132294"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q191163""},{""term"":""Trees"",""AAT_URL"":""http://vocab.getty.edu/page/aat/300132410"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q10884""},{""term"":""Winter"",""AAT_URL"":""http://vocab.getty.edu/page/aat/300133101"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q1311""}]",https://www.wikidata.org/wiki/Q20178200
22634,Burgonet,Filippo Negroli,Italian,https://images.metmuseum.org/CRDImages/aa/original/DP-12880-022.jpg,https://images.metmuseum.org/CRDImages/aa/web-large/DP-12880-022.jpg,"{https://images.metmuseum.org/CRDImages/aa/original/DP-12880-023.jpg,https://images.metmuseum.org/CRDImages/aa/original/DT781.jpg,https://images.metmuseum.org/CRDImages/aa/original/DT276226.jpg,https://images.metmuseum.org/CRDImages/aa/original/DT276227.jpg,https://images.metmuseum.org/CRDImages/aa/original/DT276228.jpg,https://images.metmuseum.org/CRDImages/aa/original/DT276229.jpg,https://images.metmuseum.org/CRDImages/aa/original/DT276230.jpg,https://images.metmuseum.org/CRDImages/aa/original/DT276232.jpg,https://images.metmuseum.org/CRDImages/aa/original/DT276231.jpg,https://images.metmuseum.org/CRDImages/aa/original/DP-12880-021.jpg}",Burgonet,"Steel, gold, textile","Italian, Milan",Milan,Italy,dated 1543,1543,Arms and Armor,374,1917,https://www.metmuseum.org/art/collection/search/22634,"[{""term"":""Medusa"",""AAT_URL"":""http://vocab.getty.edu/page/ia/901000543"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q160730""},{""term"":""Putti"",""AAT_URL"":""http://vocab.getty.edu/page/aat/300250465"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q284865""}]",https://www.wikidata.org/wiki/Q29383115
470311,Enthroned Virgin and Child,"","",https://images.metmuseum.org/CRDImages/cl/original/DP167494.jpg,https://images.metmuseum.org/CRDImages/cl/web-large/DP167494.jpg,"{https://images.metmuseum.org/CRDImages/cl/original/DP167496.jpg,https://images.metmuseum.org/CRDImages/cl/original/DP167495.jpg,https://images.metmuseum.org/CRDImages/cl/original/DP167492.jpg,https://images.metmuseum.org/CRDImages/cl/original/DP167490.jpg,https://images.metmuseum.org/CRDImages/cl/original/DP167493.jpg,https://images.metmuseum.org/CRDImages/cl/original/DP167491.jpg}",Sculpture,Birch with paint and glass,French,vicinity of Autun,France,ca. 1130–1140,1140,The Cloisters,004,1947,https://www.metmuseum.org/art/collection/search/470311,"[{""term"":""Madonna and Child"",""AAT_URL"":""http://vocab.getty.edu/page/ia/901000052"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q9309699""},{""term"":""Jesus"",""AAT_URL"":""http://vocab.getty.edu/page/ia/901000087"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q302""},{""term"":""Virgin Mary"",""AAT_URL"":""http://vocab.getty.edu/page/ia/901000032"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q345""}]",https://www.wikidata.org/wiki/Q20201042
436603,Samson Captured by the Philistines,Guercino (Giovanni Francesco Barbieri),Italian,https://images.metmuseum.org/CRDImages/ep/original/DT503.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DT503.jpg,{},Painting,Oil on canvas,"","","",1619,1619,European Paintings,601,1984,https://www.metmuseum.org/art/collection/search/436603,"[{""term"":""Women"",""AAT_URL"":""http://vocab.getty.edu/page/aat/300025943"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q467""},{""term"":""Samson"",""AAT_URL"":""http://vocab.getty.edu/page/ia/901000362"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q214648""}]",https://www.wikidata.org/wiki/Q19911545
435641,Madonna and Child,Giovanni Bellini,Italian,https://images.metmuseum.org/CRDImages/ep/original/DT375.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DT375.jpg,{https://images.metmuseum.org/CRDImages/ep/original/ep08.183.1.jpg},Painting,Oil on wood,"","","",late 1480s,1489,European Paintings,603,1908,https://www.metmuseum.org/art/collection/search/435641,"[{""term"":""Infants"",""AAT_URL"":""http://vocab.getty.edu/page/aat/300189561"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q998""},{""term"":""Women"",""AAT_URL"":""http://vocab.getty.edu/page/aat/300025943"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q467""},{""term"":""Madonna"",""AAT_URL"":""http://vocab.getty.edu/page/ia/901000032"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q345""},{""term"":""Madonna and Child"",""AAT_URL"":""http://vocab.getty.edu/page/ia/901000052"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q9309699""},{""term"":""Jesus"",""AAT_URL"":""http://vocab.getty.edu/page/ia/901000087"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q302""}]",https://www.wikidata.org/wiki/Q19911447
437900,"Comtesse de la Châtre (Marie Charlotte Louise Perrette Aglaé Bontemps, 1762–1848)",Elisabeth Louise Vigée Le Brun,French,https://images.metmuseum.org/CRDImages/ep/original/DP320086.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP320086.jpg,{},Painting,Oil on canvas,"","","",1789,1789,European Paintings,616,1954,https://www.metmuseum.org/art/collection/search/437900,"[{""term"":""Portraits"",""AAT_URL"":""http://vocab.getty.edu/page/aat/300015637"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q134307""},{""term"":""Women"",""AAT_URL"":""http://vocab.getty.edu/page/aat/300025943"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q467""}]",https://www.wikidata.org/wiki/Q19912372
438815,"Madame Georges Charpentier (Marguérite-Louise Lemonnier, 1848–1904) and Her Children, Georgette-Berthe (1872–1945) and Paul-Émile-Charles (1875–1895)",Auguste Renoir,French,https://images.metmuseum.org/CRDImages/ep/original/DT49.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DT49.jpg,{},Painting,Oil on canvas,"","","",1878,1878,European Paintings,824,1907,https://www.metmuseum.org/art/collection/search/438815,"[{""term"":""Boys"",""AAT_URL"":""http://vocab.getty.edu/page/aat/300247598"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q3010""},{""term"":""Girls"",""AAT_URL"":""http://vocab.getty.edu/page/aat/300247581"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q3031""},{""term"":""Interiors"",""AAT_URL"":""http://vocab.getty.edu/page/aat/300391239"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q2998430""},{""term"":""Portraits"",""AAT_URL"":""http://vocab.getty.edu/page/aat/300015637"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q134307""},{""term"":""Women"",""AAT_URL"":""http://vocab.getty.edu/page/aat/300025943"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q467""},{""term"":""Dogs"",""AAT_URL"":""http://vocab.getty.edu/page/aat/300265714"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q144""}]",https://www.wikidata.org/wiki/Q686105
17447,Portrait of a Lady,Lawrence Kilburn (or Kilbrunn),British,https://images.metmuseum.org/CRDImages/ad/original/DT5410.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DT5410.jpg,{},Painting,Oil on canvas,American,"",United States,1764,1764,The American Wing,719,2002,https://www.metmuseum.org/art/collection/search/17447,"[{""term"":""Portraits"",""AAT_URL"":""http://vocab.getty.edu/page/aat/300015637"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q134307""},{""term"":""Women"",""AAT_URL"":""http://vocab.getty.edu/page/aat/300025943"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q467""}]",https://www.wikidata.org/wiki/Q19924681
247009,Wall painting from Room H of the Villa of P. Fannius Synistor at Boscoreale,"","",https://images.metmuseum.org/CRDImages/gr/original/DP105943.jpg,https://images.metmuseum.org/CRDImages/gr/web-large/DP105943.jpg,"{https://images.metmuseum.org/CRDImages/gr/original/DP118092.jpg,https://images.metmuseum.org/CRDImages/gr/original/DP118093.jpg,https://images.metmuseum.org/CRDImages/gr/original/DP141478.jpg}",Wall painting,Fresco,Roman,"","",ca. 50–40 B.C.,-40,Greek and Roman Art,164,1903,https://www.metmuseum.org/art/collection/search/247009,"[{""term"":""Musical Instruments"",""AAT_URL"":""http://vocab.getty.edu/page/aat/300041620"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q34379""},{""term"":""Girls"",""AAT_URL"":""http://vocab.getty.edu/page/aat/300247581"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q3031""},{""term"":""Women"",""AAT_URL"":""http://vocab.getty.edu/page/aat/300025943"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q467""},{""term"":""Musicians"",""AAT_URL"":""http://vocab.getty.edu/page/aat/300025666"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q639669""},{""term"":""Chairs"",""AAT_URL"":""http://vocab.getty.edu/page/aat/300037772"",""Wikidata_URL"":""https://www.wikidata.org/wiki/Q15026""}]",https://www.wikidata.org/wiki/Q29383728
